N,n,r,h,h_floor,eps_h,eps_bucket,z_h,modulus,rho_mod,boost_G,boost_primes,family,native_cluster,z_native_i,x,y,z
1396,698,24,17.625626270481586,17,7,>5,1.5183267515184133,210,136,1.0028818443804035,349,shell_other,eps=>5;rho210=136,7+136i,-2.9523421258937685,12.061717651431492,4.954632697184288
1398,699,45,35.33872173232316,35,10,>5,1.6252088286754565,210,138,2.0086580086580086,"3,233",cone_3,eps=>5;rho210=138,10+138i,-9.596512846306661,-5.448484070979759,5.061730342904443
1400,700,34,28.178265459581965,28,6,>5,1.096718755219963,210,140,1.5999999999999999,"5,7",ring_5,eps=>5;rho210=140,6+140i,4.2303288180420715,-3.0651603998415955,4.260923173449686
1402,701,27,17.654847393524225,17,10,>5,2.224100531299083,210,142,1.0014306151645207,701,shell_other,eps=>5;rho210=142,10+142i,-2.1994094925451066,11.602404785671084,5.665164849740093
1404,702,48,38.50435778406811,38,10,>5,1.5302747083215231,210,144,2.1818181818181817,"3,13",cone_3,eps=>5;rho210=144,10+144i,-8.754559140791251,-6.444611480429427,4.972376031702881
1406,703,23,19.23964202370953,19,4,4,0.8572958018237793,210,146,1.0890756302521007,"19,37",shell_other,eps=4;rho210=146,4+146i,-1.6819621197249142,11.306149953551651,4.352380521855229
1408,704,25,19.649135802988447,19,6,>5,1.207124881438021,210,148,1.1111111111111112,11,shell_other,eps=>5;rho210=148,6+148i,-1.4029289840936745,11.197912725974906,4.716744104456639
1410,705,58,48.255456592875866,48,10,>5,1.4027758479371217,210,150,2.7259259259259254,"3,5,47",mobius_3x5,eps=>5;rho210=150,10+150i,16.659905170484812,-5.871339073749314,-2.170792301764509
1412,706,18,17.771076727248694,17,1,1,0.054304156857210996,210,152,1.002849002849003,353,shell_other,eps=1;rho210=152,1+152i,-0.8046080582213821,11.154752771697744,3.5054461881679773
1414,707,30,21.501534946779305,21,9,>5,1.8327606874643139,210,154,1.2121212121212122,"7,101",shell_other,eps=>5;rho210=154,9+154i,-0.5311600085381363,10.946350095260229,5.4061262774564405
1416,708,47,36.13692281425456,36,11,>5,1.807079592072127,210,156,2.0350877192982457,"3,59",cone_3,eps=>5;rho210=156,11+156i,-6.29660605326234,-6.604446921749238,5.260269352133376
1418,709,20,17.800241947235165,17,3,3,0.5213891189698747,210,158,1.0014144271570014,709,shell_other,eps=3;rho210=158,3+158i,0.07339891108257766,11.094010223639291,3.977232292579509
1420,710,34,24.06817615196156,24,10,>5,2.0244516900731173,210,160,1.3526570048309179,"5,71",ring_5,eps=>5;rho210=160,10+160i,6.264747290963132,-3.5328070817487767,4.975203800704007
1422,711,41,36.08545712070703,36,5,5,0.818120025157323,210,162,2.0259740259740258,"3,79",cone_3,eps=5;rho210=162,5+162i,-5.115505989857577,-6.529596991452454,4.276818814338564
1424,712,22,18.03449601626872,18,4,4,0.9337839079451062,210,164,1.0114942528735633,89,shell_other,eps=4;rho210=164,4+164i,0.9490591188790566,11.181685348343251,4.400943243602221
1426,713,23,19.34233487849732,19,4,4,0.831667043426058,210,166,1.0837438423645323,"23,31",shell_other,eps=4;rho210=166,4+166i,1.250035325743534,11.191211147045681,4.3423508217809115
1428,714,57,45.73653909822859,45,12,>5,1.665483009991639,210,168,2.56,"3,7,17",cone_3,eps=>5;rho210=168,12+168i,-3.5072862372630835,-7.671784110465594,5.129667632312104
1430,715,35,28.90337874083619,28,7,>5,1.1340048428847354,210,170,1.616161616161616,"5,11,13",ring_5,eps=>5;rho210=170,7+170i,7.294926186964806,-3.2994181148093173,4.316511744558736
1432,716,25,18.00323170412435,18,7,>5,1.6490060788967875,210,172,1.0056497175141244,179,shell_other,eps=>5;rho210=172,7+172i,2.060150662417225,11.55307845381595,5.12010050856928
1434,717,50,35.99164272337553,35,15,>5,2.3349972593080315,210,174,2.0084388185654007,"3,239",cone_3,eps=>5;rho210=174,15+174i,-2.897454459042261,-5.765495710333259,5.804644713303374
1436,718,22,17.988569147842085,17,5,5,0.9458036820248578,210,176,1.0028011204481793,359,shell_other,eps=5;rho210=176,5+176i,2.573774199834271,11.835027575288006,4.4188876662253636
1438,719,23,17.981473040909695,17,6,>5,1.1834873721999872,210,178,1.00139470013947,719,shell_other,eps=>5;rho210=178,6+178i,2.816848941548703,11.998395246935715,4.6575713935805
1440,720,60,47.93208280797023,47,13,>5,1.7430874297453718,210,180,2.6666666666666665,"3,5",mobius_3x5,eps=>5;rho210=180,13+180i,22.979427910654508,-6.244005104211423,-1.6827081149191514
1442,721,27,21.804926546597038,21,6,>5,1.1125367824424561,210,182,1.2118811881188118,"7,103",shell_other,eps=>5;rho210=182,6+182i,3.3875322040216758,12.237764339826612,4.71221403177192
1444,722,28,19.070171947226083,19,9,>5,2.044870416743079,210,184,1.0588235294117647,19,shell_other,eps=>5;rho210=184,9+184i,3.5166807388622927,12.53553905274471,5.557676913891986
1446,723,45,36.20847468721149,36,9,>5,1.461029940078457,210,186,2.00836820083682,"3,241",cone_3,eps=>5;rho210=186,9+186i,-1.0647959856177884,-4.311757898233286,4.9415348189539925
1448,724,20,18.147703093885614,18,2,2,0.43481024526330053,210,188,1.005586592178771,181,shell_other,eps=2;rho210=188,2+188i,3.868816588312676,13.008297596285768,3.920358301131212
1450,725,36,24.978705228206334,24,12,>5,2.2051983383485245,210,190,1.382716049382716,"5,29",ring_5,eps=>5;rho210=190,12+190i,8.931437507272495,-1.9986202513597684,5.138002760466317
1452,726,49,40.18449966013626,40,9,>5,1.3906494996646168,210,192,2.2222222222222223,"3,11",cone_3,eps=>5;rho210=192,9+192i,0.1364224020990319,-3.666341707684553,4.87654934875684
1454,727,26,18.126054710837746,18,8,>5,1.8494421428512988,210,194,1.0013793103448276,727,shell_other,eps=>5;rho210=194,8+194i,4.334378351101347,13.750528805704832,5.337937130976577
1456,728,34,23.719608011149028,23,11,>5,2.110842942128767,210,196,1.3090909090909089,"7,13",shell_other,eps=>5;rho210=196,11+196i,4.688657240301268,13.912475301038317,5.78008837046536
1458,729,48,36.274393605233,36,12,>5,1.9468622812848506,210,198,2.0,3,cone_3,eps=>5;rho210=198,12+198i,0.11977007399103368,-2.296788125075416,5.438134853230717
