N,n,r,h,h_floor,eps_h,z_h,boost_G,delta10,rho30,fake_mirror,h_mirror,root_decimal,root_native,native_core,eps_bucket,native_cluster,z_N,pair_fiber_size
1188,594,43,34.76838846115708,34,9,1.3960230421722397,2.2222222222222223,758,18,43|758|43,43|9|43,9|758|9,9|18|9,"43|(18,9)|43",>5,eps=>5;rho30=18,9+18i,43
1194,597,45,31.564295181735098,31,14,2.391456060593675,2.010152284263959,744,24,45|744|45,45|14|45,14|744|14,14|24|14,"45|(24,14)|45",>5,eps=>5;rho30=24,14+24i,45
1200,600,54,42.024107214744724,42,12,1.8473902678718355,2.6666666666666665,660,0,54|660|54,54|12|54,12|660|12,12|0|12,"54|(0,12)|54",>5,eps=>5;rho30=0,12,54
1206,603,43,32.11778617459212,32,11,1.9201911065884054,2.0307692307692307,776,6,43|776|43,43|11|43,11|776|11,11|6|11,"43|(6,11)|43",>5,eps=>5;rho30=6,11+6i,43
1218,609,49,39.64416340185908,39,10,1.4859116899617224,2.4888888888888885,728,18,49|728|49,49|10|49,10|728|10,10|18|10,"49|(18,10)|49",>5,eps=>5;rho30=18,10+18i,49
1224,612,45,34.10091733505754,34,11,1.8664094107192781,2.1333333333333333,774,24,45|774|45,45|11|45,11|774|11,11|24|11,"45|(24,11)|45",>5,eps=>5;rho30=24,11+24i,45
1230,615,55,43.87306402594171,43,12,1.679873604265877,2.7350427350427347,680,0,55|680|55,55|12|55,12|680|12,12|0|12,"55|(0,12)|55",>5,eps=>5;rho30=0,12,55
1236,618,42,32.513380658562276,32,10,1.6637206617928888,2.01980198019802,816,6,42|816|42,42|10|42,10|816|10,10|6|10,"42|(6,10)|42",>5,eps=>5;rho30=6,10+6i,42
1248,624,45,35.366335383999086,35,10,1.6199309099455763,2.1818181818181817,798,18,45|798|45,45|10|45,10|798|10,10|18|10,"45|(18,10)|45",>5,eps=>5;rho30=18,10+18i,45
1254,627,51,38.27202013951599,38,13,2.0574002401911504,2.3529411764705883,744,24,51|744|51,51|13|51,13|744|13,13|24|13,"51|(24,13)|51",>5,eps=>5;rho30=24,13+24i,51
1260,630,68,52.22907596851258,52,16,2.1822322442653315,3.1999999999999997,580,0,68|580|68,68|16|68,16|580|16,16|0|16,"68|(0,16)|68",>5,eps=>5;rho30=0,16,68
1266,633,42,32.911730137531585,32,10,1.5841848569946158,2.0095693779904304,846,6,42|846|42,42|10|42,10|846|10,10|6|10,"42|(6,10)|42",>5,eps=>5;rho30=6,10+6i,42
1278,639,42,33.45626685597621,33,9,1.4770967253201057,2.028985507246377,858,18,42|858|42,42|9|42,9|858|9,9|18|9,"42|(18,9)|42",>5,eps=>5;rho30=18,9+18i,42
1284,642,46,33.40494004822867,33,13,2.1791889633508084,2.019047619047619,824,24,46|824|46,46|13|46,13|824|13,13|24|13,"46|(24,13)|46",>5,eps=>5;rho30=24,13+24i,46
1290,645,60,45.34792687447474,45,15,2.1758069449797603,2.7317073170731705,690,0,60|690|60,60|15|60,15|690|15,15|0|15,"60|(0,15)|60",>5,eps=>5;rho30=0,15,60
1296,648,49,33.31240583416659,33,16,2.7180243701261144,2.0,806,6,49|806|49,49|16|49,16|806|16,16|6|16,"49|(6,16)|49",>5,eps=>5;rho30=6,16+6i,49
1308,654,46,33.847956176207305,33,13,2.0887338358854066,2.0186915887850465,848,18,46|848|46,46|13|46,13|848|13,13|18|13,"46|(18,13)|46",>5,eps=>5;rho30=18,13+18i,46
1314,657,46,34.11932838792283,34,12,2.0339522593472106,2.028169014084507,854,24,46|854|46,46|12|46,12|854|12,12|24|12,"46|(24,12)|46",>5,eps=>5;rho30=24,12+24i,46
1320,660,66,50.00923662362633,50,16,2.261226592611926,2.962962962962963,660,0,66|660|66,66|16|66,16|660|16,16|0|16,"66|(0,16)|66",>5,eps=>5;rho30=0,16,66
1326,663,53,39.40876513443998,39,14,2.165022948862295,2.327272727272727,796,6,53|796|53,53|14|53,14|796|14,14|6|14,"53|(6,14)|53",>5,eps=>5;rho30=6,14+6i,53
1338,669,45,34.242160592348824,34,11,1.8384189035660328,2.009049773755656,888,18,45|888|45,45|11|45,11|888|11,11|18|11,"45|(18,11)|45",>5,eps=>5;rho30=18,11+18i,45
1344,672,54,41.0379050687175,41,13,2.0234040109201965,2.4,804,24,54|804|54,54|13|54,13|804|13,13|24|13,"54|(24,13)|54",>5,eps=>5;rho30=24,13+24i,54
1350,675,60,45.74464186344907,45,15,2.1076962198444558,2.6666666666666665,750,0,60|750|60,60|15|60,15|750|15,15|0|15,"60|(0,15)|60",>5,eps=>5;rho30=0,15,60
1356,678,41,34.72867625935432,34,7,1.0641800322547321,2.018018018018018,946,6,41|946|41,41|7|41,7|946|7,7|6|7,"41|(6,7)|41",>5,eps=>5;rho30=6,7+6i,41
1368,684,48,36.676066022124054,36,12,1.8698464997163822,2.1176470588235294,888,18,48|888|48,48|12|48,12|888|12,12|18|12,"48|(18,12)|48",>5,eps=>5;rho30=18,12+18i,48
1374,687,47,34.90137487422355,34,13,2.0479283242156163,2.0088105726872247,904,24,47|904|47,47|13|47,13|904|13,13|24|13,"47|(24,13)|47",>5,eps=>5;rho30=24,13+24i,47
1380,690,61,48.69051632582405,48,13,1.7640774428502788,2.7936507936507935,770,0,61|770|61,61|13|61,13|770|13,13|0|13,"61|(0,13)|61",>5,eps=>5;rho30=0,13,61
1386,693,59,46.62341499016418,46,13,1.812586699097193,2.6666666666666665,796,6,59|796|59,59|13|59,13|796|13,13|6|13,"59|(6,13)|59",>5,eps=>5;rho30=6,13+6i,59
1398,699,45,35.33872173232316,35,10,1.6252088286754565,2.0086580086580086,948,18,45|948|45,45|10|45,10|948|10,10|18|10,"45|(18,10)|45",>5,eps=>5;rho30=18,10+18i,45
1404,702,48,38.50435778406811,38,10,1.5302747083215231,2.1818181818181817,924,24,48|924|48,48|10|48,10|924|10,10|24|10,"48|(24,10)|48",>5,eps=>5;rho30=24,10+24i,48
1410,705,58,48.255456592875866,48,10,1.4027758479371217,2.7259259259259254,830,0,58|830|58,58|10|58,10|830|10,10|0|10,"58|(0,10)|58",>5,eps=>5;rho30=0,10,58
1416,708,47,36.13692281425456,36,11,1.807079592072127,2.0350877192982457,946,6,47|946|47,47|11|47,11|946|11,11|6|11,"47|(6,11)|47",>5,eps=>5;rho30=6,11+6i,47
1428,714,57,45.73653909822859,45,12,1.665483009991639,2.56,858,18,57|858|57,57|12|57,12|858|12,12|18|12,"57|(18,12)|57",>5,eps=>5;rho30=18,12+18i,57
1434,717,50,35.99164272337553,35,15,2.3349972593080315,2.0084388185654007,934,24,50|934|50,50|15|50,15|934|15,15|24|15,"50|(24,15)|50",>5,eps=>5;rho30=24,15+24i,50
1440,720,60,47.93208280797023,47,13,1.7430874297453718,2.6666666666666665,840,0,60|840|60,60|13|60,13|840|13,13|0|13,"60|(0,13)|60",>5,eps=>5;rho30=0,13,60
1446,723,45,36.20847468721149,36,9,1.461029940078457,2.00836820083682,996,6,45|996|45,45|9|45,9|996|9,9|6|9,"45|(6,9)|45",>5,eps=>5;rho30=6,9+6i,45
1458,729,48,36.274393605233,36,12,1.9468622812848506,2.0,978,18,48|978|48,48|12|48,12|978|12,12|18|12,"48|(18,12)|48",>5,eps=>5;rho30=18,12+18i,48
1464,732,47,36.99929320242617,36,11,1.6441217734647537,2.0338983050847457,994,24,47|994|47,47|11|47,11|994|11,11|24|11,"47|(24,11)|47",>5,eps=>5;rho30=24,11+24i,47
1470,735,73,58.3852549762136,58,15,1.9126682656269633,3.1999999999999997,740,0,73|740|73,73|15|73,15|740|15,15|0|15,"73|(0,15)|73",>5,eps=>5;rho30=0,15,73
