N,n,r,h,h_floor,eps_h,z_h,rho30,boost_G,boost_primes,family,z_native_i,x,y,z
102,51,8,6.715694373904382,6,2,0.4955904435444276,12,2.1333333333333333,"3,17",cone_3,2+12i,-10.0891925974745,2.9709723272699327,1.0117833385634925
104,52,5,3.472280251623942,3,2,0.8198535990452865,14,1.0909090909090908,13,shell_other,2+14i,-5.93331020898645,17.2611640173438,1.371640549791161
106,53,6,3.280777783926744,3,3,1.5012613093576335,16,1.0196078431372548,53,shell_other,3+16i,-5.8613984492946605,14.75412129903993,2.0735139338686577
108,54,8,6.504545992012321,6,2,0.5863603111556281,18,2.0,3,cone_3,2+18i,-9.922186501341463,-2.849635295993127,1.1830845444529718
110,55,6,4.869168763693975,4,2,0.512472284181245,20,1.4814814814814814,"5,11",ring_5,2+20i,3.7401782457515953,-3.9141260944076612,1.0069308204571832
112,56,7,3.9851250943752925,3,4,1.5102481681880373,22,1.2,7,shell_other,4+22i,-0.6442862366804615,9.870025931382624,2.179810087134042
114,57,10,7.104754065607246,7,3,1.0862028446415077,24,2.1176470588235294,"3,19",cone_3,3+24i,-4.417370306439638,-4.870833353315446,1.7591031890897868
116,58,6,3.5144646606193355,3,3,1.3258376634725775,26,1.037037037037037,29,shell_other,3+26i,4.0121855089910605,11.544016561898196,2.0275464544688857
118,59,6,3.482764674949436,3,3,1.3488440864833435,28,1.0175438596491229,59,shell_other,3+28i,5.457410763940777,13.570204180381994,2.0724421319416497
120,60,12,9.216887855374091,9,3,0.9167239015783162,0,2.6666666666666665,"3,5",mobius_3x5,3,23.52205339136415,0.0,2.915565195154226
122,61,4,3.548948260019124,3,1,0.23942887701793875,2,1.0169491525423728,61,shell_other,1+2i,5.4514871661018125,18.42715846393987,1.0100562662487313
124,62,5,3.6446055172368927,3,2,0.709970738065514,4,1.0344827586206897,31,shell_other,2+4i,4.002581479413982,20.44531708266071,1.5058851174728751
126,63,10,8.535107035004438,8,2,0.5014197170300595,6,2.4,"3,7",cone_3,2+6i,-4.217053340289414,5.487345582252878,1.3153291328581185
128,64,3,3.5893298310478654,3,0,-0.311065424268187,8,1.0,,spine_none,8i,-17.442601660077813,-0.041811385307061334,-1.244261697072748
130,65,7,5.268694082348491,5,2,0.7542621628033549,10,1.4545454545454544,"5,13",ring_5,2+10i,3.8256953747633213,3.7660060820419363,1.4236382106922782
132,66,9,8.122198601028472,8,1,0.3080062054633705,12,2.2222222222222223,"3,11",cone_3,1+12i,-10.416346248837332,3.208663368177269,1.1874583623180515
134,67,6,3.7443516285217795,3,3,1.1656900412317563,14,1.0153846153846153,67,shell_other,3+14i,-5.817268037211033,17.236498492302495,2.0686386182739223
136,68,5,3.968126612017768,3,2,0.5180046421294233,16,1.0666666666666667,17,shell_other,2+16i,-5.863689637886361,14.753634291870739,1.4497561093072313
138,69,8,7.862361769275674,7,1,0.04908655684881987,18,2.0952380952380953,"3,23",cone_3,1+18i,-10.24117675642486,-3.0813952823304938,0.9911674622667732
140,70,7,6.055580557333643,6,1,0.38378414256288484,20,1.5999999999999999,"5,7",ring_5,1+20i,3.862124848330956,-3.7029083829297997,1.2501915182636878
142,71,8,3.872178859390792,3,5,2.0976989758846267,22,1.0144927536231885,71,shell_other,5+22i,-0.6202024143351339,10.099168194626817,3.082410128119124
144,72,11,7.697731182351797,7,4,1.1902304404802668,24,2.0,3,cone_3,4+24i,-4.42879520062004,-4.835671144582454,2.192274218824509
146,73,6,3.9354091945524763,3,3,1.0407323178694914,26,1.0140845070422535,73,shell_other,3+26i,3.9654608248384142,11.595909580869566,2.0646075469091603
148,74,5,4.024305819705915,4,1,0.4863716205436569,28,1.0285714285714285,37,shell_other,1+28i,5.42390562710971,13.585121628404373,1.5319736806004571
