N,n,r,h,h_floor,eps_h,eps_bucket,z_h,rho30,boost_G,boost_primes,family,native_cluster,z_native_i,x,y,z
160,80,8,5.467732747314907,5,3,3,1.0829437501979509,10,1.3333333333333333,5,ring_5,eps=3;rho30=10,3+10i,0.18244918213945738,2.608945175899198,3.041168612958643
162,81,10,8.263615840071902,8,2,2,0.6040331246877004,12,2.0,3,cone_3,eps=2;rho30=12,2+12i,1.6670448493107042,2.030259430260698,1.7632627785350992
164,82,5,4.269450966897412,4,1,1,0.35356018721302057,14,1.0256410256410255,41,shell_other,eps=1;rho30=14,1+14i,1.6001353386245467,0.6186468938127722,0.9989165934690274
166,83,6,4.245293365921021,4,2,2,0.8516294367962328,16,1.0123456790123457,83,shell_other,eps=2;rho30=16,2+16i,1.2836058579415575,0.10615810470816933,2.3266398674176396
168,84,13,10.138151764586134,10,3,3,0.8988085710286938,18,2.4,"3,7",shell_other,eps=3;rho30=18,3+18i,1.6208166514235902,-1.3109547605081873,2.635736673316661
170,85,9,6.051330051857724,6,3,3,1.1986730557235443,20,1.422222222222222,"5,17",shell_other,eps=3;rho30=20,3+20i,0.272247879383931,-1.3464501198838943,3.318019516530608
172,86,6,4.389878525765915,4,2,2,0.7684796841799085,22,1.024390243902439,43,shell_other,eps=2;rho30=22,2+22i,-0.4028676724651545,-1.5095902344033743,2.144515166502238
174,87,11,8.951247097564544,8,3,3,0.6847748617072118,24,2.074074074074074,"3,29",shell_other,eps=3;rho30=24,3+24i,-1.8190862840213624,-2.387883950064459,2.1562306823220228
176,88,7,4.829010647558484,4,3,3,0.9879355467263171,26,1.1111111111111112,11,shell_other,eps=3;rho30=26,3+26i,-2.304457977626722,-0.9620117238612941,2.8476673004118846
178,89,7,4.426651035138514,4,3,3,1.2230973925851942,28,1.0114942528735633,89,shell_other,eps=3;rho30=28,3+28i,-2.714496724223287,-0.07425776206268875,3.3857062271488894
180,90,14,11.750658645343353,11,3,3,0.6561819242898626,0,2.6666666666666665,"3,5",mobius_3x5,eps=3;rho30=0,3,-4.2668682657257495,0.39370915457391753,2.096108750070715
182,91,6,5.807856855336877,5,1,1,0.0797291147869268,2,1.3090909090909089,"7,13",shell_other,eps=1;rho30=2,1+2i,-2.415345083887247,0.9912082016405617,0.38197611382095825
184,92,8,4.679222368495828,4,4,4,1.5351575498110455,4,1.0476190476190477,23,shell_other,eps=4;rho30=4,4+4i,-2.5499140131069273,2.4430538908493036,4.307543015327283
186,93,13,9.302932974672522,9,4,4,1.212124914873216,6,2.0689655172413794,"3,31",shell_other,eps=4;rho30=6,4+6i,-2.0959913725454276,3.5674057968646364,3.5723256742647083
188,94,5,4.626802686695795,4,1,1,0.17349941668055102,8,1.0222222222222221,47,shell_other,eps=1;rho30=8,1+8i,-0.0793622485780596,2.1246436735761614,0.5972245184957223
190,95,8,6.431913703146873,6,2,2,0.618300866607467,10,1.4117647058823528,"5,19",shell_other,eps=2;rho30=10,2+10i,0.6432368077538518,2.490348732192636,1.8170119692546471
192,96,11,9.171150642776805,9,2,2,0.6039013778013222,12,2.0,3,cone_3,eps=2;rho30=12,2+12i,1.8146123087616632,2.1002033649597434,1.7853832182124707
194,97,7,4.663710814719183,4,3,3,1.0818344128295836,14,1.0105263157894737,97,shell_other,eps=3;rho30=14,3+14i,1.1307882353327967,1.0725851681194731,3.0842177445810535
196,98,9,5.573526591318864,5,4,4,1.4513839864005467,16,1.2,7,shell_other,eps=4;rho30=16,4+16i,1.0621093042877159,0.4021503052374529,4.136038131877618
198,99,13,10.38666976786218,10,3,3,0.8108791443975283,18,2.2222222222222223,"3,11",shell_other,eps=3;rho30=18,3+18i,1.6907274419565934,-1.361455452942899,2.4656045092959062
200,100,8,6.271092339081022,6,2,2,0.6903990750792832,20,1.3333333333333333,5,ring_5,eps=2;rho30=20,2+20i,0.6363878117657435,-1.6678124753615455,1.9899135091434728
