time_index,N_start,N_end,rho30,state_label,cell_total,state_count,state_share,mean_z
15,3604,4803,8,+0.0,40,14,0.35,-0.6394328768625452
15,3604,4803,10,+1.0,40,20,0.5,0.5839938569492309
15,3604,4803,12,+0.0,40,23,0.575,-0.12189405646469838
15,3604,4803,14,+0.0,40,18,0.45,0.4577905480230838
15,3604,4803,16,+1.0,40,17,0.425,0.7320123641197263
15,3604,4803,18,+0.0,40,17,0.425,0.30177903428383984
15,3604,4803,20,+0.0,40,17,0.425,-0.050721754832657104
15,3604,4803,22,+1.0,40,18,0.45,0.49453785123908833
15,3604,4803,24,+0.0,40,18,0.45,0.44900051937531255
15,3604,4803,26,+0.0,40,20,0.5,0.33599874721787265
15,3604,4803,28,+1.0,40,19,0.475,0.7643130681825335
16,3844,5043,0,+0.0,40,21,0.525,0.07676042661961821
16,3844,5043,2,+0.0,40,16,0.4,-0.6416844065107783
16,3844,5043,4,+1.0,40,16,0.4,0.5307417987232667
16,3844,5043,6,+0.0,40,19,0.475,0.43486111535217875
16,3844,5043,8,-1.0,40,16,0.4,-0.7169481732491374
16,3844,5043,10,+0.0,40,16,0.4,0.5469104199298287
16,3844,5043,12,+0.0,40,24,0.6,-0.17964728478396225
16,3844,5043,14,+0.0,40,19,0.475,0.33223389653282387
16,3844,5043,16,+1.0,40,16,0.4,0.8076326415118927
16,3844,5043,18,+0.0,40,18,0.45,-0.00010999640574942404
16,3844,5043,20,+0.0,40,21,0.525,-0.10099934030009969
16,3844,5043,22,+1.0,40,18,0.45,0.6586023644697772
16,3844,5043,24,+0.0,40,19,0.475,0.43255786189636564
16,3844,5043,26,+0.0,40,18,0.45,0.2880109083553604
16,3844,5043,28,+1.0,40,21,0.525,0.7404873464757735
17,4084,5283,0,+0.0,40,20,0.5,0.1142339608682708
17,4084,5283,2,+0.0,40,16,0.4,-0.5383077544876125
17,4084,5283,4,+1.0,40,15,0.375,0.3982181719490826
17,4084,5283,6,+0.0,40,20,0.5,0.32493342987231105
17,4084,5283,8,-1.0,40,16,0.4,-0.7491590472347918
17,4084,5283,10,+1.0,40,18,0.45,0.5473862073010605
17,4084,5283,12,+0.0,40,19,0.475,-0.14589489957761304
17,4084,5283,14,+0.0,40,17,0.425,0.2899500382882388
17,4084,5283,16,+1.0,40,15,0.375,0.756255911137051
17,4084,5283,18,+0.0,40,18,0.45,0.011125915377796263
17,4084,5283,20,+0.0,40,17,0.425,-0.19696684969856815
17,4084,5283,22,+1.0,40,21,0.525,0.7889407239350704
17,4084,5283,24,+1.0,40,19,0.475,0.49160028520860904
17,4084,5283,26,+0.0,40,19,0.475,0.11083593298219707
17,4084,5283,28,+1.0,40,20,0.5,0.6685831971488142
18,4324,5523,0,+0.0,40,19,0.475,0.04380700398342567
18,4324,5523,2,+0.0,40,14,0.35,-0.6133792187408802
18,4324,5523,4,+1.0,40,17,0.425,0.6065093075107801
18,4324,5523,6,+0.0,40,19,0.475,0.21275556794407433
18,4324,5523,8,-1.0,40,18,0.45,-0.9549816979108993
18,4324,5523,10,+1.0,40,20,0.5,0.5705418793722453
18,4324,5523,12,+0.0,40,21,0.525,-0.24677376568728118
18,4324,5523,14,+0.0,40,17,0.425,0.20554035193603098
18,4324,5523,16,+0.0,40,16,0.4,0.7493099218744613
18,4324,5523,18,+0.0,40,19,0.475,-0.1979579856651552
18,4324,5523,20,+0.0,40,15,0.375,-0.2739285725822927
18,4324,5523,22,+1.0,40,23,0.575,0.7593469758343183
18,4324,5523,24,+1.0,40,17,0.425,0.4685374182317168
18,4324,5523,26,+0.0,40,21,0.525,0.04646004535272583
18,4324,5523,28,+1.0,40,20,0.5,0.7090348500826019
19,4564,5763,0,+0.0,40,22,0.55,0.12789551379985148
19,4564,5763,2,+0.0,40,15,0.375,-0.5303813720044694
19,4564,5763,4,+1.0,40,19,0.475,0.7390321521455139
19,4564,5763,6,+0.0,40,17,0.425,0.30690543826940386
19,4564,5763,8,-1.0,40,18,0.45,-0.9968047461271858
19,4564,5763,10,+1.0,40,18,0.45,0.501654679633033
19,4564,5763,12,+0.0,40,19,0.475,-0.2426390749014497
19,4564,5763,14,+0.0,40,16,0.4,0.20555853909248487
19,4564,5763,16,+1.0,40,16,0.4,0.6497343171482712
19,4564,5763,18,+0.0,40,20,0.5,-0.2122118991600483
19,4564,5763,20,-1.0,40,15,0.375,-0.3306888352427579
19,4564,5763,22,+1.0,40,22,0.55,0.8163995529094322
19,4564,5763,24,+1.0,40,18,0.45,0.47560234653639644
19,4564,5763,26,+0.0,40,21,0.525,0.1754813119791081
19,4564,5763,28,+1.0,40,20,0.5,0.704196329490175
20,4804,6003,0,+0.0,40,23,0.575,0.16618172185180446
20,4804,6003,2,-1.0,40,16,0.4,-0.5006404600126514
20,4804,6003,4,+1.0,40,19,0.475,0.8607522398985552
20,4804,6003,6,+0.0,40,17,0.425,0.29235322760978927
20,4804,6003,8,-1.0,40,19,0.475,-0.9827755505982754
20,4804,6003,10,+0.0,40,17,0.425,0.5249592319198596
20,4804,6003,12,+0.0,40,20,0.5,-0.1483855758248501
20,4804,6003,14,+0.0,40,18,0.45,0.1434100617183322
20,4804,6003,16,+0.0,40,15,0.375,0.6381429319716757
20,4804,6003,18,+0.0,40,18,0.45,-0.3209490368665486
20,4804,6003,20,-1.0,40,15,0.375,-0.37809972682748694
20,4804,6003,22,+1.0,40,21,0.525,0.9015375925833553
20,4804,6003,24,+0.0,40,17,0.425,0.4689861782278052
20,4804,6003,26,+0.0,40,17,0.425,0.2460137169617463
20,4804,6003,28,+1.0,40,17,0.425,0.8071390503613447
21,5044,6243,0,+0.0,40,24,0.6,0.1907170309430048
21,5044,6243,2,-1.0,40,18,0.45,-0.6123273330868403
21,5044,6243,4,+1.0,40,23,0.575,0.9168332818852327
21,5044,6243,6,+0.0,40,16,0.4,0.20962637109159488
21,5044,6243,8,-1.0,40,16,0.4,-1.0666633107659753
21,5044,6243,10,+1.0,40,18,0.45,0.6416468911887941
21,5044,6243,12,+0.0,40,18,0.45,-0.11213255089355949
21,5044,6243,14,+0.0,40,16,0.4,0.2290043045443401
21,5044,6243,16,+0.0,40,19,0.475,0.42321243273800546
21,5044,6243,18,+0.0,40,20,0.5,-0.13033294112906146
21,5044,6243,20,-1.0,40,16,0.4,-0.5037181258880725
21,5044,6243,22,+1.0,40,21,0.525,0.7961106048815386
21,5044,6243,24,+1.0,40,17,0.425,0.5775683740398312
21,5044,6243,26,+0.0,40,18,0.45,0.34568750856812336
21,5044,6243,28,+1.0,40,18,0.45,0.8924642429890282
22,5284,6483,0,+0.0,40,23,0.575,0.16405013177666347
22,5284,6483,2,-1.0,40,18,0.45,-0.6581257021027831
22,5284,6483,4,+1.0,40,23,0.575,1.1694841798662943
22,5284,6483,6,+1.0,40,15,0.375,0.31193626713952444
22,5284,6483,8,-1.0,40,16,0.4,-0.9927149901941421
22,5284,6483,10,+0.0,40,17,0.425,0.7540639789919561
22,5284,6483,12,+0.0,40,21,0.525,-0.09239236851967714
22,5284,6483,14,+0.0,40,17,0.425,0.19887416282154446
22,5284,6483,16,+0.0,40,19,0.475,0.46033884056130925
22,5284,6483,18,+0.0,40,22,0.55,-0.13306667084730014
22,5284,6483,20,+0.0,40,16,0.4,-0.3761211818793544
22,5284,6483,22,+1.0,40,18,0.45,0.7590601010398483
22,5284,6483,24,+1.0,40,17,0.425,0.6804519838546477
22,5284,6483,26,+0.0,40,16,0.4,0.32557686659585433
22,5284,6483,28,+1.0,40,20,0.5,0.9876778490293125
23,5524,6723,0,+0.0,40,22,0.55,0.22939764639359533
23,5524,6723,2,-1.0,40,20,0.5,-0.6635312310026594
23,5524,6723,4,+1.0,40,22,0.55,1.068884449092455
23,5524,6723,6,+1.0,40,16,0.4,0.374808664588359
23,5524,6723,8,-1.0,40,14,0.35,-0.8169461300449988
23,5524,6723,10,+0.0,40,17,0.425,0.7184347599838498
23,5524,6723,12,+0.0,40,20,0.5,-0.019768578582147544
23,5524,6723,14,+0.0,40,15,0.375,0.34441036444880846
23,5524,6723,16,+0.0,40,20,0.5,0.35787925813771876
23,5524,6723,18,+0.0,40,25,0.625,-0.010320719718626812
23,5524,6723,20,+0.0,40,14,0.35,-0.29148532041568775
23,5524,6723,22,+1.0,40,17,0.425,0.7862688385186075
23,5524,6723,24,+1.0,40,20,0.5,0.7816380432845107
23,5524,6723,26,+0.0,40,16,0.4,0.2597406992867956
23,5524,6723,28,+1.0,40,17,0.425,0.8472784049142887
24,5764,6963,0,+0.0,40,20,0.5,0.1466525067490047
24,5764,6963,2,-1.0,40,18,0.45,-0.5339530590800011
24,5764,6963,4,+1.0,40,18,0.45,0.9700363325359291
24,5764,6963,6,+1.0,40,15,0.375,0.26803036185108425
24,5764,6963,8,+0.0,40,15,0.375,-0.6210824643890638
24,5764,6963,10,+1.0,40,16,0.4,0.6974968499777978
24,5764,6963,12,+0.0,40,19,0.475,0.044170520388585384
24,5764,6963,14,+1.0,40,15,0.375,0.4604051283673399
24,5764,6963,16,+0.0,40,24,0.6,0.31754292921789096
24,5764,6963,18,+0.0,40,24,0.6,-0.05968030858798092
24,5764,6963,20,+0.0,40,14,0.35,-0.26137553405127756
24,5764,6963,22,+1.0,40,15,0.375,0.8345518697032173
24,5764,6963,24,+1.0,40,21,0.525,0.7459050458114219
24,5764,6963,26,+0.0,40,15,0.375,0.10939316462416611
24,5764,6963,28,+1.0,40,17,0.425,0.7810642017218654
25,6004,7203,0,+0.0,40,19,0.475,0.1464326998971221
25,6004,7203,2,-1.0,40,21,0.525,-0.6016965140021606
25,6004,7203,4,+1.0,40,18,0.45,0.8605061198245242
25,6004,7203,6,+1.0,40,16,0.4,0.28486969102845794
25,6004,7203,8,-1.0,40,15,0.375,-0.6389019933205451
25,6004,7203,10,+1.0,40,16,0.4,0.7789553598791301
25,6004,7203,12,+0.0,40,17,0.425,0.1351876488358554
25,6004,7203,14,+1.0,40,18,0.45,0.5516796181782023
25,6004,7203,16,+0.0,40,26,0.65,0.2968035489646602
25,6004,7203,18,+0.0,40,22,0.55,0.009847580485400086
25,6004,7203,20,-1.0,40,15,0.375,-0.22250794317675124
25,6004,7203,22,+1.0,40,15,0.375,0.9350640404039353
25,6004,7203,24,+1.0,40,21,0.525,0.7655941841237592
25,6004,7203,26,+0.0,40,17,0.425,-0.018655933480113608
25,6004,7203,28,+1.0,40,18,0.45,0.7607439161270477
26,6244,7443,0,+0.0,40,18,0.45,0.19069953481058335
26,6244,7443,2,-1.0,40,20,0.5,-0.6520426967043339
26,6244,7443,4,+1.0,40,15,0.375,0.7950219045014675
26,6244,7443,6,+0.0,40,18,0.45,0.27254219476361985
26,6244,7443,8,+0.0,40,17,0.425,-0.5059529352971225
26,6244,7443,10,+1.0,40,18,0.45,0.8009621023400196
26,6244,7443,12,+0.0,40,19,0.475,0.11568237585915828
26,6244,7443,14,+1.0,40,18,0.45,0.5441669445233488
26,6244,7443,16,+0.0,40,24,0.6,0.38142380112512253
26,6244,7443,18,+0.0,40,23,0.575,-0.0784313051457625
26,6244,7443,20,-1.0,40,14,0.35,-0.19733524232538827
26,6244,7443,22,+1.0,40,16,0.4,1.0658100995861575
26,6244,7443,24,+1.0,40,20,0.5,0.6000353406582823
26,6244,7443,26,+0.0,40,17,0.425,-0.0489793349946789
26,6244,7443,28,+1.0,40,20,0.5,0.7863356297663571
27,6484,7683,0,+0.0,40,20,0.5,0.18879710310362724
27,6484,7683,2,-1.0,40,20,0.5,-0.7102317815623966
27,6484,7683,4,+1.0,40,18,0.45,0.5872980168640074
27,6484,7683,6,+0.0,40,19,0.475,0.19092582292298133
27,6484,7683,8,+0.0,40,20,0.5,-0.5607911762129143
27,6484,7683,10,+1.0,40,19,0.475,0.6134697559233621
27,6484,7683,12,+0.0,40,21,0.525,0.03852576537359033
27,6484,7683,14,+1.0,40,17,0.425,0.45523238840003355
27,6484,7683,16,+0.0,40,24,0.6,0.37215622064969944
27,6484,7683,18,+0.0,40,22,0.55,-0.05798710836538166
27,6484,7683,20,+0.0,40,15,0.375,-0.32387511992906337
27,6484,7683,22,+1.0,40,19,0.475,1.190817178956166
27,6484,7683,24,+1.0,40,18,0.45,0.47218025852608375
27,6484,7683,26,+0.0,40,19,0.475,0.029969553331803334
27,6484,7683,28,+1.0,40,18,0.45,0.6473200035474376
28,6724,7923,0,+0.0,40,22,0.55,0.1459610465074101
28,6724,7923,2,-1.0,40,19,0.475,-0.8522680045097795
28,6724,7923,4,+1.0,40,21,0.525,0.6521374598898554
28,6724,7923,6,+0.0,40,20,0.5,0.20173201512926195
28,6724,7923,8,+0.0,40,19,0.475,-0.5597351517448979
28,6724,7923,10,+1.0,40,20,0.5,0.7480100354696165
28,6724,7923,12,+0.0,40,20,0.5,0.0825084257930089
28,6724,7923,14,+1.0,40,16,0.4,0.3480747511542874
28,6724,7923,16,+0.0,40,23,0.575,0.45291402980625683
28,6724,7923,18,+0.0,40,22,0.55,-0.039965304481580075
